i,r,reg_cap_cost_mult
BATTERY,p48015,0.9918
BATTERY,p49057,1.0288
BATTERY,p29187,1.0563
BATTERY,p13309,1.0183
BATTERY,p55125,1.0049
BATTERY,p48009,0.9984
BATTERY,p27119,0.9995
BATTERY,p50001,1.0688
BATTERY,p48007,0.9974
BATTERY,p01059,1.019
BATTERY,p27111,1.0025
BATTERY,p16001,1.0203
BATTERY,p50003,1.0506
BATTERY,p48001,1.0007
BATTERY,p29199,1.0194
BATTERY,p13321,1.0035
BATTERY,p55123,1.0097
BATTERY,p08109,1.0017
BATTERY,p48003,1.0051
BATTERY,p27113,1.001
BATTERY,p29197,1.0173
BATTERY,p13319,1.0192
BATTERY,p48005,0.9992
BATTERY,p13317,1.0195
BATTERY,p29195,1.0168
BATTERY,p29201,1.04
BATTERY,p48017,1.0061
BATTERY,p13307,1.0085
BATTERY,p01055,1.0143
BATTERY,p27125,1.001
BATTERY,p13297,1.02
BATTERY,p48031,0.9995
BATTERY,p29181,1.0372
BATTERY,p13295,1.016
BATTERY,p48033,1.0035
BATTERY,p08117,0.9926
BATTERY,p13293,1.0173
BATTERY,p27127,1.0041
BATTERY,p48035,1.0007
BATTERY,p29179,1.0454
BATTERY,p49051,1.0279
BATTERY,p13291,1.019
BATTERY,p48037,1.0143
BATTERY,p49053,1.057
BATTERY,p08113,1.0119
BATTERY,p29183,1.065
BATTERY,p13299,1.0113
BATTERY,p48019,1.0011
BATTERY,p29186,1.0595
BATTERY,p13305,1.0227
BATTERY,p48021,0.9962
BATTERY,p27121,1.0032
BATTERY,p49055,1.0262
BATTERY,p48023,0.9988
BATTERY,p13303,1.0213
BATTERY,p48025,0.9982
BATTERY,p29185,1.0143
BATTERY,p13301,1.021
BATTERY,p08115,0.9909
BATTERY,p48027,0.9986
BATTERY,p55127,1.0338
BATTERY,p27123,1.01
BATTERY,p48029,0.9994
BATTERY,p16075,1.022
BATTERY,p27073,1.0016
BATTERY,p47105,1.0152
BATTERY,p27023,1.0034
BATTERY,p17085,1.0154
BATTERY,p51033,1.0112
BATTERY,p55093,1.0095
BATTERY,p46129,0.9905
BATTERY,p17083,1.0641
BATTERY,p30071,0.9953
BATTERY,p46135,1
BATTERY,p08059,0.9901
BATTERY,p27025,1.0095
BATTERY,p17081,1.0495
BATTERY,p46137,0.986
BATTERY,p17079,1.0344
BATTERY,p51031,1.0029
BATTERY,p30069,0.995
BATTERY,p46127,1.001
BATTERY,p01085,1.0103
BATTERY,p46125,1.0003
BATTERY,p17095,1.0167
BATTERY,p46117,0.9881
BATTERY,p30075,0.9891
BATTERY,p27019,1.0095
BATTERY,p17093,1.0505
BATTERY,p46119,0.9901
BATTERY,p17091,1.0492
BATTERY,p51035,1.0023
BATTERY,p46121,0.9891
BATTERY,p17089,1.052
BATTERY,p46123,0.9918
BATTERY,p30073,0.9969
